x	y	yaw
1.7836	0.164145	0.153825	
1.78343	0.164016	0.153884	
1.78325	0.164208	0.153796	
1.7833	0.164144	0.153851	
1.78328	0.164285	0.153762	
1.78327	0.16444	0.153705	
1.78322	0.164414	0.153708	
1.7832	0.164531	0.153668	
1.78311	0.164612	0.153628	
1.78313	0.164562	0.153664	
1.78301	0.164771	0.153565	
1.78301	0.164699	0.153624	
1.78315	0.164533	0.153683	
1.78301	0.164647	0.153633	
1.78315	0.164729	0.153606	
1.78315	0.164718	0.153653	
1.78334	0.16459	0.153748	
1.78319	0.164762	0.153635	
1.78298	0.165216	0.153432	
1.78307	0.165065	0.15352	
1.78318	0.165081	0.153536	
1.78315	0.165006	0.153546	
1.78313	0.165003	0.153535	
1.78313	0.164894	0.15359	
1.78281	0.164978	0.153573	
1.78276	0.165085	0.153464	
1.78293	0.164966	0.153539	
1.78278	0.164854	0.153594	
1.78292	0.16463	0.153695	
1.78273	0.164544	0.153649	
1.78279	0.16446	0.153723	
1.78268	0.164716	0.153623	
1.78288	0.164609	0.153682	
1.78302	0.164543	0.153724	
1.78289	0.164643	0.153653	
1.78299	0.164504	0.153713	
1.78299	0.164532	0.153704	
1.78302	0.164542	0.15372	
1.78298	0.164556	0.153681	
1.78298	0.164777	0.153579	
1.78294	0.164761	0.15359	
1.78307	0.164583	0.153706	
1.78308	0.164656	0.153685	
1.78295	0.164804	0.153579	
1.78293	0.164357	0.153785	
1.78289	0.164644	0.153624	
1.78304	0.164592	0.153663	
1.78309	0.164716	0.15359	
1.78288	0.164848	0.153525	
1.78285	0.164792	0.153572	
1.7832	0.164741	0.153642	
1.78309	0.164786	0.153607	
1.78307	0.16482	0.153551	
1.78304	0.164679	0.153615	
1.78309	0.164625	0.153647	
1.78303	0.164642	0.15362	
1.78314	0.164577	0.153682	
1.7832	0.164759	0.153633	
1.7832	0.164792	0.153627	
1.78301	0.164701	0.153625	
1.78302	0.164677	0.153604	
1.78282	0.16493	0.153466	
1.78297	0.164574	0.153659	
1.78277	0.164599	0.153605	
1.78292	0.164529	0.1537	
1.78306	0.164412	0.153752	
1.7829	0.164433	0.15369	
1.78294	0.164414	0.1537	
1.78316	0.164524	0.153675	
1.78306	0.16452	0.153661	
1.78306	0.164532	0.153664	
1.7831	0.164632	0.153643	
1.78306	0.164626	0.153654	
1.78309	0.164616	0.153655	
1.78299	0.164675	0.153632	
1.78289	0.164819	0.153541	
1.78284	0.164661	0.153667	
1.78293	0.164661	0.15362	
1.78289	0.164554	0.15367	
1.78305	0.164487	0.153721	
1.78294	0.164564	0.153671	
1.78296	0.164868	0.153545	
1.78283	0.165445	0.153319	
1.78306	0.164918	0.153633	
1.78308	0.164962	0.153573	
1.78294	0.164926	0.153576	
1.783	0.164797	0.153624	
1.78292	0.164834	0.153566	
1.7829	0.164774	0.153582	
1.78303	0.164779	0.15361	
1.78303	0.165159	0.15349	
1.78301	0.165197	0.153463	
1.7832	0.164765	0.153642	
1.78311	0.164547	0.153678	
1.78307	0.164551	0.153685	
1.78306	0.164516	0.153723	
1.78305	0.164581	0.153692	
1.78329	0.164508	0.153742	
1.78315	0.1646	0.153683	
1.78329	0.164477	0.153777	
1.78331	0.164568	0.153729	
1.78313	0.164353	0.153761	
1.783	0.1647	0.153605	
1.7829	0.164695	0.153643	
1.78303	0.164621	0.153681	
1.78294	0.164625	0.153686	
1.78281	0.164805	0.153551	
1.78296	0.164495	0.15374	
1.78288	0.164438	0.153731	
1.78281	0.164563	0.153657	
1.78277	0.164577	0.153676	
1.78281	0.164578	0.15365	
1.78276	0.164603	0.153638	
1.78282	0.164623	0.153649	
1.78289	0.164473	0.153699	
1.78285	0.164643	0.153606	
1.78285	0.164746	0.153564	
1.78289	0.164524	0.153655	
1.78312	0.164389	0.153759	
1.78306	0.164823	0.153612	
1.78303	0.165334	0.15335	
1.78298	0.165032	0.153489	
1.78281	0.165038	0.153475	
1.78288	0.164799	0.153584	
1.78291	0.164762	0.153592	
1.78307	0.164575	0.153708	
1.78311	0.16442	0.153759	
1.78298	0.164605	0.153625	
1.78294	0.164529	0.153657	
1.78294	0.164551	0.153676	
1.78284	0.164661	0.153621	
1.78296	0.164548	0.153701	
1.78287	0.164975	0.153494	
1.78293	0.164604	0.153652	
1.78288	0.164596	0.153668	
1.783	0.164631	0.153656	
1.78316	0.164554	0.153679	
1.78344	0.164378	0.153818	
1.7832	0.164471	0.153768	
1.78293	0.164681	0.153615	
1.78305	0.164526	0.153702	
1.78312	0.164542	0.153713	
1.78312	0.164525	0.153726	
1.78324	0.164413	0.153766	
1.78315	0.164399	0.153757	
1.78313	0.164405	0.153767	
1.78309	0.164465	0.153711	
1.78312	0.164493	0.153697	
1.78308	0.164504	0.153708	
1.7832	0.164371	0.153777	
1.78312	0.164586	0.153692	
1.78303	0.164639	0.153638	
1.78314	0.164551	0.153689	
1.78311	0.164565	0.153661	
1.78303	0.164626	0.153647	
1.78305	0.164665	0.15358	
1.78298	0.164591	0.15363	
1.78319	0.164574	0.153676	
1.78308	0.164837	0.153564	
1.78295	0.164897	0.153541	
1.78291	0.164783	0.153594	
1.78276	0.16468	0.153625	
1.78275	0.164661	0.153647	
1.7831	0.16469	0.153626	
1.78303	0.164592	0.153697	
1.78294	0.164691	0.153629	
1.78311	0.164936	0.15356	
1.78321	0.164641	0.153708	
1.78327	0.164632	0.153711	
1.78328	0.164593	0.153694	
1.78325	0.164657	0.153644	
1.78321	0.164587	0.15368	
1.78311	0.164704	0.153618	
1.78323	0.164516	0.153698	
1.78305	0.164605	0.153655	
1.78316	0.164542	0.153712	
